...1,Reference,DOI,CodeCitation,Year,Ecosystem,Habitat,Country,Biological.group,Mean_size,UIS,ML,Size_variance,Variance_type,Min_length,Max_length,Starting_month,Starting_year,Final_month,Final_year,Sampling_frequency,Sampling_method,Organ_content,N.sampling.unit,N.organisms,TotalMiP,TotalMeP,TotalMaP,TotalPD,FO_PD,NF_PD,FW_PD,Dead,Fragments,Fibers_thread,Pellets,Beads_granule,Foam,Film_sheet,Paintchips,Other_types,Type_unit,Average.Size_PD,Min.Size_PD,Max.size_PD,Size.variance_PD,Variance_type.1,Size_unit,Area_PD,Area_unit,Mass_PD,Volume_PD,Blue,White,Transparent,Gray,Black,Yellow,Brown,PinkPurple,Orange,Red,Green,Colored,Other_colors,Color_unit,Polymer1,Polymer1.items,Polymer2,Polymer2.items,Polymer3,Polymer3.items,Polymer4,Polymer4.items,Polymer5,Polymer5.items,Polymer6,Polymer6.items,Polymer7,Polymer7.items,Polymer8,Polymer8.items,Polymer9,Polymer9.items,Polymer10,Polymer10.items,Polymer11,Polymer11.items,Polymer12,Polymer12.items,Other_Polymers,Other_PolymersItems,Polymer_unit,QAQC_protocol,Extraction_method,Polymeric_analysis,Obs,species,kingdom,subkingdom,infrakingdom,class,order,family,genus,phylum,Lat,Lon,common.name,TotalP
586,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Gavia stellata,Animalia,Bilateria,Deuterostomia,Aves,Gaviiformes,Gaviidae,Gavia,Chordata,35,-5,red-throated loon,0
587,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Ichthyaetus audouinii,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Ichthyaetus,Chordata,45,-10,NA,0
588,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Ichthyaetus audouinii,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Ichthyaetus,Chordata,35,-5,NA,0
589,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Ichthyaetus melanocephalus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Ichthyaetus,Chordata,45,-10,NA,0
590,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Ichthyaetus melanocephalus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Ichthyaetus,Chordata,35,-5,NA,0
593,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus argentatus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,45,-10,NA,0
594,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus argentatus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,35,-5,NA,0
595,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,107,107,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,45.96,0,0,47.98,1.52,0,0,0,0,1.01,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus fuscus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,45,-10,NA,0
596,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,107,107,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.53,45.96,0,0,47.98,1.52,0,0,0,0,1.01,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus fuscus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,35,-5,NA,0
597,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,124,124,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,87.88,0,0,2.02,0,0,0,0,3.03,4.04,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus michahellis,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,45,-10,yellow-legged gull,0
598,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,124,124,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.03,87.88,0,0,2.02,0,0,0,0,3.03,4.04,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Larus michahellis,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Larus,Chordata,35,-5,yellow-legged gull,0
599,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Melanitta nigra,Animalia,Bilateria,Deuterostomia,Aves,Anseriformes,Anatidae,Melanitta,Chordata,45,-10,European common scoter,0
600,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,2,2,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Melanitta nigra,Animalia,Bilateria,Deuterostomia,Aves,Anseriformes,Anatidae,Melanitta,Chordata,35,-5,European common scoter,0
601,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,21,21,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Morus bassanus,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Sulidae,Morus,Chordata,45,-10,northern gannet,0
602,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,21,21,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Morus bassanus,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Sulidae,Morus,Chordata,35,-5,northern gannet,0
603,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Phalacrocorax carbo,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Chordata,45,-10,great cormorant,0
604,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Phalacrocorax carbo,Animalia,Bilateria,Deuterostomia,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Chordata,35,-5,great cormorant,0
607,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Rissa tridactyla,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Rissa,Chordata,45,-10,black-legged kittiwake,0
608,"Basto et al., 2019",10.1016/j.marpolbul.2018.11.024,MPB00527,2019,Coastal Waters,Coastal Waters,Portugal,Birds,NA,NA,NA,NA,NA,NA,NA,NA,2007,NA,2017,NA,Necropsy,Stomach,1,1,NA,NA,NA,NA,NA,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,100,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Visual selection,NA,Geographic coordinate estimated,Rissa tridactyla,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Rissa,Chordata,35,-5,black-legged kittiwake,0
628,"Berr et al., 2020",10.1016/j.marpolbul.2020.110925,MPB00683,2020,Island,Island,France,Birds,NA,cm,Total length,NA,NA,NA,NA,NA,2015,NA,2018,NA,Necropsy,GIT,4,4,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Digestion/Filtration/Visual selection,NA,NA,Anous minutus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Anous,Chordata,-21.109297,166.478338,black noddy,0
629,"Berr et al., 2020",10.1016/j.marpolbul.2020.110925,MPB00683,2020,Island,Island,France,Birds,NA,cm,Total length,NA,NA,NA,NA,NA,2015,NA,2018,NA,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Digestion/Filtration/Visual selection,NA,NA,Anous stolidus,Animalia,Bilateria,Deuterostomia,Aves,Charadriiformes,Laridae,Anous,Chordata,-21.109297,166.478338,brown noddy,0
630,"Berr et al., 2020",10.1016/j.marpolbul.2020.110925,MPB00683,2020,Island,Island,France,Birds,NA,cm,Total length,NA,NA,NA,NA,NA,2015,NA,2018,NA,Necropsy,GIT,52,52,NA,NA,NA,NA,7.7,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,50,0,0,50,0,0,0,0,0,0,0,0,%,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Digestion/Filtration/Visual selection,NA,Geographic coordinate estimated,Ardenna pacifica,Metazoa,NA,NA,Aves,Procellariiformes,Procellariidae,Ardenna,Chordata,-21.109297,166.478338,NA,0
631,"Berr et al., 2020",10.1016/j.marpolbul.2020.110925,MPB00683,2020,Island,Island,France,Birds,NA,cm,Total length,NA,NA,NA,NA,NA,2015,NA,2018,NA,Necropsy,GIT,1,1,NA,NA,NA,0,0,NA,NA,Yes,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,None,NA,NA,No,Digestion/Filtration/Visual selection,NA,NA,Larus novaehollandiae,Metazoa,NA,NA,Aves,Charadriiformes,Laridae,Chroicocephalus,Chordata,-21.109297,166.478338,Silver gull,0
